,iso_code,country,2021_population,2020_population,area_km_sq,density_km_sq,growth_rate_%,world_%,rank,Latitude,Longitude
98,CHE,Switzerland,8752564,8654622,41284,211,0.7,0.11,100,46.7985624,8.2319736
99,SRB,Serbia,8674489,8737371,88361,98,-0.46,0.11,101,44.1534121,20.55144
100,TGO,Togo,8596357,8278724,56785,149,2.41,0.11,102,8.7800265,1.0199765
101,SLE,Sierra Leone,8238113,7976983,71740,113,2.06,0.1,103,8.6400349,-11.8400269
102,HKG,Hong Kong,7585785,7496981,1104,6,0.74,0.1,104,22.2793278,114.1628131
103,LAO,Laos,7439920,7275560,236800,31,1.43,0.09,105,20.0171109,103.378253
104,PRY,Paraguay,7270717,7132538,406752,18,1.22,0.09,106,-23.3165935,-58.1693445
105,LBY,Libya,7007887,6871292,1759540,4,1.27,0.09,107,26.8234472,18.1236723
106,BGR,Bulgaria,6866274,6948445,110879,62,-0.75,0.09,108,42.6073975,25.4856617
107,LBN,Lebanon,6752766,6825445,10452,648,-0.82,0.09,109,33.8750629,35.843409
108,NIC,Nicaragua,6748507,6624554,130373,51,1.17,0.09,110,12.6090157,-85.2936911
109,KGZ,Kyrgyzstan,6689349,6524195,199951,33,1.6,0.08,111,41.5089324,74.724091
110,SLV,El Salvador,6537250,6486205,21041,310,0.5,0.08,112,13.8000382,-88.9140683
111,TKM,Turkmenistan,6168788,6031200,488100,13,1.44,0.08,113,39.3763807,59.3924609
112,SGP,Singapore,5925135,5850342,710,8,0.79,0.07,114,1.357107,103.8194992
113,DNK,Denmark,5825798,5792202,43094,135,0.36,0.07,115,55.670249,10.3333283
114,FIN,Finland,5553102,5540720,338424,16,0.14,0.07,117,63.2467777,25.9209164
115,NOR,Norway,5492570,5421241,323802,17,0.82,0.07,118,61.1529386,8.7876653
116,SVK,Slovakia,5460937,5459642,49037,111,0.02,0.07,119,48.7411522,19.4528646
117,OMN,Oman,5296006,5106626,309500,17,2.29,0.07,120,21.0000287,57.0036901
118,PSE,Palestine,5293440,5101414,6220,840,2.38,0.07,121,31.462420950000002,34.262716572130714
119,LBR,Liberia,5252834,5057681,111369,47,2.42,0.07,122,5.7499721,-9.3658524
120,CRI,Costa Rica,5165346,5094118,51100,101,0.88,0.07,123,10.2735633,-84.0739102
121,IRL,Ireland,5008554,4937786,70273,71,0.91,0.06,124,52.865196,-7.9794599
122,CAF,Central African Republic,4971922,4829767,622984,8,1.87,0.06,125,7.0323598,19.9981227
123,NZL,New Zealand,4883704,4822233,270467,18,0.8,0.06,126,-41.5000831,172.8344077
124,MRT,Mauritania,4848828,4649658,1030700,5,2.7,0.06,127,20.2540382,-9.2399263
125,PAN,Panama,4420589,4314767,75417,58,1.55,0.06,128,8.559559,-81.1308434
126,KWT,Kuwait,4366698,4270571,17818,243,1.36,0.05,129,29.2733964,47.4979476
127,HRV,Croatia,4067642,4105267,56594,72,-0.58,0.05,130,45.3658443,15.6575209
128,MDA,Moldova,4017984,4033963,33846,119,-0.25,0.05,131,47.2879608,28.5670941
129,GEO,Georgia,3973946,3989167,69700,57,-0.24,0.05,132,32.3293809,-83.1137366
130,ERI,Eritrea,3633796,3546421,117600,31,1.55,0.05,133,15.9500319,37.9999668
131,URY,Uruguay,3491832,3473730,181034,19,0.33,0.04,134,-32.8755548,-56.0201525
132,MNG,Mongolia,3359247,3278290,1564110,2,1.56,0.04,135,46.8250388,103.8499736
133,BIH,Bosnia And Herzegovina,3251612,3280819,51209,64,-0.53,0.04,136,44.3053476,17.5961467
134,JAM,Jamaica,2980575,2961167,10991,271,0.42,0.04,137,18.1850507,-77.3947693
135,ARM,Armenia,2970929,2963243,29743,100,0.16,0.04,138,40.7696272,44.6736646
136,QAT,Qatar,2962425,2881053,11586,253,1.72,0.04,139,25.3336984,51.2295295
137,ALB,Albania,2869700,2877797,28748,100,-0.17,0.04,140,41.000028,19.9999619
138,PRI,Puerto Rico,2806918,2860853,8870,319,-1.14,0.04,141,18.2247706,-66.4858295
139,LTU,Lithuania,2670680,2722289,65300,41,-1.19,0.03,142,55.3500003,23.7499997
140,NAM,Namibia,2614500,2540905,825615,3,1.83,0.03,143,-23.2335499,17.3231107
141,GMB,Gambia,2528326,2416668,10689,233,2.91,0.03,144,13.470062,-15.4900464
142,BWA,Botswana,2423535,2351627,582000,4,1.94,0.03,145,-23.1681782,24.5928742
143,GAB,Gabon,2310507,2225734,267668,9,2.39,0.03,146,-0.8999695,11.6899699
144,LSO,Lesotho,2169209,2142249,30355,71,0.79,0.03,147,-29.6039267,28.3350193
145,MKD,North Macedonia,2082011,2083374,25713,81,-0.03,0.03,148,41.6171214,21.7168387
